sample,population
HG02666,AFR
HG02769,AFR
HG03516,AFR
NA20847,SAS
NA21309,AFR
HG03540,AFR
HG02492,SAS
HG03248,AFR
HG03579,AFR
NA19983,AFR
HG01573,AMR
HG00512,EAS
HG01258,AMR
NA19238,AFR
HG02953,AFR
HG03456,AFR
HG02055,AFR
HG02622,AFR
HG03486,AFR
HG02059,EAS
HG03732,SAS
HG002,EUR
NA20129,AFR
HG00732,AMR
HG02148,AMR
HG00741,AMR
HG00513,EAS
NA19036,AFR
HG02587,AFR
HG00864,EAS
HG04217,SAS
NA20509,EUR
HG00735,AMR
HG02109,AFR
HG02723,AFR
HG02011,AFR
NA19331,AFR
NA20355,AFR
HG00096,EUR
NA24385,EUR
HG01505,EUR
HG01352,AMR
HG03683,SAS
HG01243,AMR
HG01361,AMR
HG03098,AFR
NA18534,EAS
NA19836,AFR
NA19239,AFR
NA19129,AFR
HG01890,AFR
HG03009,SAS
HG03371,AFR
NA18939,EAS
NA19240,AFR
NA12329,EUR
HG02018,EAS
NA18906,AFR
NA19705,AFR
HG01952,AMR
HG02886,AFR
HG01175,AMR
HG03520,AFR
HG01106,AMR
HG04036,SAS
HG02080,EAS
HG02145,AFR
HG00514,EAS
HG02282,AFR
HG03452,AFR
HG00733,AMR
HG01891,AFR
HG03065,AFR
HG01978,AMR
NA19434,AFR
HG02630,AFR
HG01123,AMR
NA19650,AMR
HG03492,SAS
HG01109,AMR
HG02559,AFR
NA19384,AFR
HG00171,EUR
HG00438,EAS
HG01114,AMR
HG00268,EUR
HG02818,AFR
HG01358,AMR
HG00731,AMR
NA21487,AFR
HG01928,AMR
HG02486,AFR
HG00358,EUR
HG03807,SAS
NA19317,AFR
HG02554,AFR
HG00621,EAS
HG005,EAS
HG02257,AFR
HG02106,AMR
HG01596,EAS
HG01457,AMR
HG02572,AFR
NA19347,AFR
NA18989,EAS
HG02717,AFR
HG01071,AMR
HG03453,AFR
HG00673,EAS
