Sample	id	type	dataset	p1	p2	HPRC_meta.Population	HPRC_PANPAN.color	hgdp_tgp_meta.Genetic.region	hgdp_tgp_meta.Study.region	SpeciesCode	Cell	Birth	hgdp_tgp_meta.Latitude	hgdp_tgp_meta.Longitude	hgdp_tgp_meta.Continent.colors	hgdp_tgp_meta.Pop.colors	project_meta.sex	observations
HG002	HG002.1	hap1	HPRC	Ashkenazim Jewish-GIAB	WEA	Ashkenazim Jewish-GIAB	#999999	EUR	EUR	Hsa 			NA	NA	NA	NA	male	
HG002	HG002.2	hap2	HPRC	Ashkenazim Jewish-GIAB	WEA	Ashkenazim Jewish-GIAB	#999999	EUR	EUR	Hsa 			NA	NA	NA	NA	male	
HG00438	HG00438.2	hap2	HPRC	CHS	EA	CHS	#0066CC	EAS	EAS	Hsa 			23.133333	113.266667	#4DAF4A	#C3E4C2	female	
HG00438	HG00438.1	hap1	HPRC	CHS	EA	CHS	#0066CC	EAS	EAS	Hsa 			23.133333	113.266667	#4DAF4A	#C3E4C2	female	
HG005	HG005.1	hap1	HPRC	CHS	EA	Chinese-GIAB	#3399CC	EAS	EAS	Hsa 			NA	NA	#4DAF4A	#C3E4C2	male	
HG005	HG005.2	hap2	HPRC	CHS	EA	Chinese-GIAB	#3399CC	EAS	EAS	Hsa 			NA	NA	#4DAF4A	#C3E4C2	male	
HG00621	HG00621.1	hap1	HPRC	CHS	EA	CHS	#0066CC	EAS	EAS	Hsa 			23.133333	113.266667	#4DAF4A	#C3E4C2	male	
HG00621	HG00621.2	hap2	HPRC	CHS	EA	CHS	#0066CC	EAS	EAS	Hsa 			23.133333	113.266667	#4DAF4A	#C3E4C2	male	
HG00673	HG00673.1	hap1	HPRC	CHS	EA	CHS	#0066CC	EAS	EAS	Hsa 			23.133333	113.266667	#4DAF4A	#C3E4C2	male	
HG00673	HG00673.2	hap2	HPRC	CHS	EA	CHS	#0066CC	EAS	EAS	Hsa 			23.133333	113.266667	#4DAF4A	#C3E4C2	male	
HG00733	HG00733.2	hap2	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG00733	HG00733.1	hap1	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG00735	HG00735.2	hap2	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG00735	HG00735.1	hap1	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG00741	HG00741.1	hap1	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG00741	HG00741.2	hap2	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG01071	HG01071.2	hap2	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG01071	HG01071.1	hap1	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG01106	HG01106.2	hap2	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	male	
HG01106	HG01106.1	hap1	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	male	
HG01109	HG01109.2	hap2	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	male	
HG01109	HG01109.1	hap1	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	male	
HG01123	HG01123.2	hap2	HPRC	CLM	AMR	CLM	#660099	AMR	AMR	Hsa 			4.583333	-74.066667	#E41A1C	#5B0A0B	female	
HG01123	HG01123.1	hap1	HPRC	CLM	AMR	CLM	#660099	AMR	AMR	Hsa 			4.583333	-74.066667	#E41A1C	#5B0A0B	female	
HG01175	HG01175.1	hap1	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG01175	HG01175.2	hap2	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	female	
HG01243	HG01243.2	hap2	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	male	
HG01243	HG01243.1	hap1	HPRC	PUR	AMR	PUR	#660099	AMR	AMR	Hsa 			18.45	-66.1	#E41A1C	#5B0A0B	male	
