sample	group
HG02554.hap1	8
200134_HG02148.mat	7
210076_APR038.hap2	6
200334_HG03225.hap2	5
200339_HG03470.hap1	5
200260_HG00099.hap2	3
200326_HG03130.hap2	3
200003_HG06807.pat	3
200410_NA19185.hap2	3
200427_NA19909.hap1	3
200152_HG02559.mat	3
200199_HG03486.pat	3
210075_APR038.hap1	3
200161_HG02630.pat	3
200159_HG02622.pat	3
200411_NA19338.hap1	3
200070_HG01261.mat	3
200422_NA19700.hap2	3
200172_HG02723.mat	3
200335_HG03270.hap1	3
200179_HG02818.pat	3
200425_NA19835.hap1	3
200029_HG00673.pat	3
210090_APR045.hap2	3
200201_HG03540.pat	3
200378_NA18945.hap2	3
200371_NA18940.hap1	3
200445_NA20809.hap1	3
200412_NA19338.hap2	3
200399_NA18983.hap1	3
200380_NA18948.hap2	3
200321_HG02965.hap1	3
200218_HG03816.mat	3
200386_NA18960.hap2	3
200228_HG04115.mat	3
200038_HG00738.mat	3
200312_HG02273.hap2	3
200372_NA18940.hap2	3
200180_HG02818.mat	3
200194_HG03098.mat	3
210015_APR006.hap1	3
200189_HG03041.pat	3
200021_HG00621.pat	3
200210_HG03688.mat	3
200007_HG00423.pat	3
200212_HG03704.mat	3
200432_NA20346.hap2	3
210070_APR035.hap2	3
200238_HG04199.mat	3
200460_NA21106.hap2	3
200013_HG00558.pat	3
200186_HG02984.mat	3
200222_HG03834.mat	3
200436_NA20752.hap2	3
200259_HG00099.hap1	3
200392_NA18971.hap2	3
200457_NA21102.hap1	3
200357_NA18522.hap1	3
200011_HG00544.pat	3
200155_HG02602.pat	3
200164_HG02647.mat	3
200190_HG03041.mat	3
200283_HG00320.hap1	3
200241_HG04228.pat	3
200295_HG01167.hap1	3
200297_HG01530.hap1	3
200384_NA18959.hap2	3
210005_APR001.hap1	3
200370_NA18879.hap2	3
200111_HG02055.pat	3
200135_HG02258.pat	3
200165_HG02668.pat	3
200409_NA19185.hap1	3
210083_APR042.hap1	3
200040_HG00741.mat	3
200145_HG02486.pat	3
200175_HG02738.pat	3
200306_HG02155.hap2	3
200039_HG00741.pat	3
200079_HG01496.pat	3
200184_HG02886.mat	3
200324_HG02976.hap2	3
200138_HG02280.mat	3
200204_HG03579.mat	3
200303_HG02040.hap1	3
210021_APR009.hap1	3
200109_HG02027.pat	3
200344_HG03521.hap2	3
200148_HG02514.mat	3
200345_HG03583.hap1	3
200027_HG00658.pat	3
200113_HG02056.pat	3
200249_NA21309.pat	3
