chrom,endLength,startLength,sample
haplotype1-0000001,0,11222,PR01008.verkko.fasta
haplotype1-0000002,18261,0,PR01008.verkko.fasta
haplotype1-0000003,8854,12240,PR01008.verkko.fasta
haplotype1-0000004,0,0,PR01008.verkko.fasta
haplotype1-0000005,9903,0,PR01008.verkko.fasta
haplotype1-0000006,11125,0,PR01008.verkko.fasta
haplotype1-0000007,9741,8968,PR01008.verkko.fasta
haplotype1-0000008,7959,0,PR01008.verkko.fasta
haplotype1-0000009,0,6401,PR01008.verkko.fasta
haplotype1-0000010,4533,9358,PR01008.verkko.fasta
haplotype1-0000011,0,1279,PR01008.verkko.fasta
haplotype1-0000012,0,0,PR01008.verkko.fasta
haplotype1-0000013,0,0,PR01008.verkko.fasta
haplotype1-0000014,4108,1710,PR01008.verkko.fasta
haplotype1-0000015,6650,0,PR01008.verkko.fasta
haplotype1-0000016,6563,0,PR01008.verkko.fasta
haplotype1-0000017,11666,0,PR01008.verkko.fasta
haplotype1-0000018,0,12762,PR01008.verkko.fasta
haplotype1-0000019,0,0,PR01008.verkko.fasta
haplotype1-0000020,0,0,PR01008.verkko.fasta
haplotype1-0000021,7922,0,PR01008.verkko.fasta
haplotype1-0000022,0,0,PR01008.verkko.fasta
haplotype1-0000023,0,6787,PR01008.verkko.fasta
haplotype1-0000024,0,15723,PR01008.verkko.fasta
haplotype1-0000025,12944,14702,PR01008.verkko.fasta
haplotype1-0000026,10216,0,PR01008.verkko.fasta
haplotype1-0000027,8895,16186,PR01008.verkko.fasta
haplotype1-0000028,14635,4650,PR01008.verkko.fasta
haplotype1-0000029,0,0,PR01008.verkko.fasta
haplotype1-0000030,0,9049,PR01008.verkko.fasta
haplotype1-0000031,15920,3680,PR01008.verkko.fasta
haplotype1-0000032,5647,8068,PR01008.verkko.fasta
haplotype1-0000033,9662,6286,PR01008.verkko.fasta
haplotype1-0000034,0,0,PR01008.verkko.fasta
haplotype1-0000035,0,0,PR01008.verkko.fasta
haplotype1-0000036,0,0,PR01008.verkko.fasta
haplotype1-0000037,0,0,PR01008.verkko.fasta
haplotype1-0000038,0,0,PR01008.verkko.fasta
haplotype1-0000039,0,0,PR01008.verkko.fasta
haplotype1-0000040,0,0,PR01008.verkko.fasta
haplotype1-0000041,0,0,PR01008.verkko.fasta
haplotype1-0000042,0,0,PR01008.verkko.fasta
haplotype1-0000043,0,0,PR01008.verkko.fasta
haplotype1-0000044,0,0,PR01008.verkko.fasta
haplotype1-0000045,0,0,PR01008.verkko.fasta
haplotype1-0000046,0,0,PR01008.verkko.fasta
haplotype1-0000047,0,0,PR01008.verkko.fasta
haplotype1-0000048,0,10566,PR01008.verkko.fasta
haplotype1-0000049,0,0,PR01008.verkko.fasta
haplotype1-0000050,0,0,PR01008.verkko.fasta
haplotype1-0000051,0,0,PR01008.verkko.fasta
haplotype1-0000052,0,0,PR01008.verkko.fasta
haplotype1-0000053,0,0,PR01008.verkko.fasta
haplotype1-0000054,0,0,PR01008.verkko.fasta
haplotype1-0000055,0,0,PR01008.verkko.fasta
haplotype1-0000056,0,0,PR01008.verkko.fasta
haplotype1-0000057,0,0,PR01008.verkko.fasta
haplotype1-0000058,0,0,PR01008.verkko.fasta
haplotype1-0000059,0,0,PR01008.verkko.fasta
haplotype1-0000060,0,0,PR01008.verkko.fasta
haplotype1-0000061,0,0,PR01008.verkko.fasta
haplotype1-0000062,0,0,PR01008.verkko.fasta
haplotype1-0000063,0,0,PR01008.verkko.fasta
haplotype1-0000064,0,0,PR01008.verkko.fasta
haplotype1-0000065,0,0,PR01008.verkko.fasta
haplotype1-0000066,0,0,PR01008.verkko.fasta
haplotype1-0000067,0,0,PR01008.verkko.fasta
haplotype1-0000068,0,0,PR01008.verkko.fasta
haplotype1-0000069,0,0,PR01008.verkko.fasta
haplotype1-0000070,0,0,PR01008.verkko.fasta
haplotype1-0000071,0,0,PR01008.verkko.fasta
haplotype1-0000072,0,0,PR01008.verkko.fasta
haplotype1-0000073,0,0,PR01008.verkko.fasta
haplotype1-0000074,0,0,PR01008.verkko.fasta
haplotype1-0000075,0,0,PR01008.verkko.fasta
haplotype1-0000076,0,0,PR01008.verkko.fasta
haplotype1-0000077,0,0,PR01008.verkko.fasta
haplotype1-0000078,0,0,PR01008.verkko.fasta
haplotype1-0000079,0,0,PR01008.verkko.fasta
haplotype1-0000080,0,0,PR01008.verkko.fasta
haplotype1-0000081,0,0,PR01008.verkko.fasta
haplotype1-0000082,0,0,PR01008.verkko.fasta
haplotype1-0000083,0,0,PR01008.verkko.fasta
haplotype1-0000084,0,0,PR01008.verkko.fasta
haplotype1-0000085,0,0,PR01008.verkko.fasta
haplotype1-0000086,0,0,PR01008.verkko.fasta
haplotype1-0000087,0,0,PR01008.verkko.fasta
haplotype1-0000088,0,0,PR01008.verkko.fasta
haplotype1-0000089,0,0,PR01008.verkko.fasta
haplotype1-0000090,0,0,PR01008.verkko.fasta
haplotype1-0000091,0,0,PR01008.verkko.fasta
haplotype1-0000092,0,0,PR01008.verkko.fasta
haplotype1-0000093,0,0,PR01008.verkko.fasta
haplotype1-0000094,0,0,PR01008.verkko.fasta
haplotype1-0000095,0,0,PR01008.verkko.fasta
haplotype1-0000096,0,0,PR01008.verkko.fasta
haplotype1-0000097,0,0,PR01008.verkko.fasta
haplotype1-0000098,0,0,PR01008.verkko.fasta
haplotype1-0000099,0,0,PR01008.verkko.fasta
haplotype1-0000100,0,0,PR01008.verkko.fasta
haplotype1-0000101,0,0,PR01008.verkko.fasta
haplotype1-0000102,0,0,PR01008.verkko.fasta
haplotype1-0000103,0,0,PR01008.verkko.fasta
haplotype1-0000104,0,0,PR01008.verkko.fasta
haplotype1-0000105,0,0,PR01008.verkko.fasta
haplotype1-0000106,0,0,PR01008.verkko.fasta
haplotype1-0000107,0,0,PR01008.verkko.fasta
haplotype2-0000108,13352,0,PR01008.verkko.fasta
haplotype2-0000109,11628,10789,PR01008.verkko.fasta
haplotype2-0000110,0,0,PR01008.verkko.fasta
haplotype2-0000111,3101,0,PR01008.verkko.fasta
haplotype2-0000112,8672,4455,PR01008.verkko.fasta
haplotype2-0000113,8843,0,PR01008.verkko.fasta
haplotype2-0000114,0,0,PR01008.verkko.fasta
haplotype2-0000115,14459,4439,PR01008.verkko.fasta
haplotype2-0000116,8941,2320,PR01008.verkko.fasta
haplotype2-0000117,0,0,PR01008.verkko.fasta
haplotype2-0000118,0,0,PR01008.verkko.fasta
haplotype2-0000119,0,0,PR01008.verkko.fasta
haplotype2-0000120,6173,4352,PR01008.verkko.fasta
haplotype2-0000121,7889,0,PR01008.verkko.fasta
haplotype2-0000122,0,7113,PR01008.verkko.fasta
haplotype2-0000123,12903,0,PR01008.verkko.fasta
haplotype2-0000124,14901,8319,PR01008.verkko.fasta
haplotype2-0000125,12217,7880,PR01008.verkko.fasta
haplotype2-0000126,0,0,PR01008.verkko.fasta
haplotype2-0000127,12944,6315,PR01008.verkko.fasta
haplotype2-0000128,0,9973,PR01008.verkko.fasta
