haplotype.name	haplotype.group
AG06939_13#1#h1tg000001l:38460978-39196545	HaploGroup1
AG06939_13#2#h2tg000037l:141054893-141790792	HaploGroup1
AG16618_12#1#h1tg000071l:11824074-12559767	HaploGroup1
AG18352_2#1#h1tg000008l:137246714-137982225	HaploGroup1
AG18352_2#2#h2tg000014l:144250068-144985578	HaploGroup1
AG18353_9#1#h1tg000001l:45697636-46436853	HaploGroup1
AG18354_5#1#h1tg000001l:46017701-46753311	HaploGroup1
AG18355_8#2#h2tg000003l:141091523-141827034	HaploGroup1
AG18356_6#1#h1tg000009l:38451028-39186406	HaploGroup1
AG18357_3#2#h2tg000002l:38448652-39184196	HaploGroup1
AG18358_4#1#h1tg000002l:66470633-67206324	HaploGroup1
AG18359_7#1#h1tg000042l:38455424-39191400	HaploGroup1
AG18360_11#1#h1tg000008l:11812212-12550865	HaploGroup1
AG18360_11#2#h2tg000036l:12077288-12813256	HaploGroup1
AG18361_10#1#h1tg000062l:11826201-12565407	HaploGroup1
AG18361_10#2#h2tg000026l:140132060-140867671	HaploGroup1
PR00115#1#h1tg000008l:46986008-47720060	HaploGroup1
PR00496A#1#h1tg000173l:16038885-16771830	HaploGroup1
PR00512#2#h2tg000076l:22781836-23521126	HaploGroup1
PR00834#2#h2tg000004l:11790414-12529642	HaploGroup1
PR00838#1#h1tg000019l:12072711-12811936	HaploGroup1
PR00838#2#h2tg000136l:5581115-6319805	HaploGroup1
PR01008#1#haplotype1-0000005:45846455-46592354	HaploGroup1
PR01010#1#haplotype1-0000011:145990332-146736231	HaploGroup1
PR01100#1#h1tg000022l:22951664-23687101	HaploGroup1
PR01100#2#h2tg000094l:3483026-4218638	HaploGroup1
PR01223#2#h2tg000044l:18365490-19107873	HaploGroup1
PR01225#1#h1tg000045l:21152845-21888192	HaploGroup1
PR01228#1#h1tg000020l:22966159-23702051	HaploGroup1
PR01228#2#h2tg000018l:16040817-16780819	HaploGroup1
AG16618_12#2#h2tg000039l:15907744-16419518	HaploGroup2
AG18353_9#2#h2tg000007l:45658526-46529006	HaploGroup3
AG18354_5#2#h2tg000004l:45638852-46508232	HaploGroup3
AG18357_3#1#h1tg000009l:45704104-46574556	HaploGroup3
AG18358_4#2#h2tg000016l:45688219-46557693	HaploGroup3
AG18359_7#2#h2tg000023l:145386288-146256797	HaploGroup3
PR00512#1#h1tg000068l:22757246-23622984	HaploGroup3
PR01223#1#h1tg000057l:11818538-12689006	HaploGroup3
PR01227#1#haplotype1-0000002:45915589-46785084	HaploGroup3
mPanTro3#1#chr3_hap1_hsa4:145167459-146036838	HaploGroup3
AG18355_8#1#h1tg000020l:41920875-42546234	HaploGroup4
PR01225#2#h2tg000017l:11791316-12416675	HaploGroup4
PR01227#2#haplotype2-0000142:46260732-46886074	HaploGroup4
AG18356_6#2#h2tg000017l:39013024-39516727	HaploGroup5
PR00115#2#h2tg000101l:41401689-42037071	HaploGroup6
PR00834#1#h1tg000052l:21130040-21801418	HaploGroup7
PR01008#2#haplotype2-0000129:47159956-47937929	HaploGroup8
PR01009#1#h1tg000093l:22862114-23505758	HaploGroup9
PR01010#2#haplotype2-0000055:46817131-47460770	HaploGroup9
PR01009#2#h2tg000056l:4909437-5320747	HaploGroup10
