genomeName	stat	v1	v2	type	method
PR01227	auN	2984997423	58665622.61	hap1	HiFi
PR01227	auNG	3100000000	56489268.49	hap1	HiFi
PR01227	Nx	1	135230377	hap1	HiFi
PR01227	Nx	2	135230377	hap1	HiFi
PR01227	Nx	3	135230377	hap1	HiFi
PR01227	Nx	4	135230377	hap1	HiFi
PR01227	Nx	5	134678745	hap1	HiFi
PR01227	Nx	6	134678745	hap1	HiFi
PR01227	Nx	7	134678745	hap1	HiFi
PR01227	Nx	8	134678745	hap1	HiFi
PR01227	Nx	9	134678745	hap1	HiFi
PR01227	Nx	10	134581458	hap1	HiFi
PR01227	Nx	11	134581458	hap1	HiFi
PR01227	Nx	12	134581458	hap1	HiFi
PR01227	Nx	13	134581458	hap1	HiFi
PR01227	Nx	14	121921640	hap1	HiFi
PR01227	Nx	15	121921640	hap1	HiFi
PR01227	Nx	16	121921640	hap1	HiFi
PR01227	Nx	17	121921640	hap1	HiFi
PR01227	Nx	18	114201073	hap1	HiFi
PR01227	Nx	19	114201073	hap1	HiFi
PR01227	Nx	20	114201073	hap1	HiFi
PR01227	Nx	21	114201073	hap1	HiFi
PR01227	Nx	22	110928542	hap1	HiFi
PR01227	Nx	23	110928542	hap1	HiFi
PR01227	Nx	24	110928542	hap1	HiFi
PR01227	Nx	25	110928542	hap1	HiFi
PR01227	Nx	26	107052048	hap1	HiFi
PR01227	Nx	27	107052048	hap1	HiFi
PR01227	Nx	28	107052048	hap1	HiFi
PR01227	Nx	29	87937049	hap1	HiFi
PR01227	Nx	30	87937049	hap1	HiFi
PR01227	Nx	31	87937049	hap1	HiFi
PR01227	Nx	32	72445317	hap1	HiFi
PR01227	Nx	33	72445317	hap1	HiFi
PR01227	Nx	34	72445317	hap1	HiFi
PR01227	Nx	35	70906380	hap1	HiFi
PR01227	Nx	36	70906380	hap1	HiFi
PR01227	Nx	37	65260272	hap1	HiFi
PR01227	Nx	38	65260272	hap1	HiFi
PR01227	Nx	39	62917582	hap1	HiFi
PR01227	Nx	40	62917582	hap1	HiFi
PR01227	Nx	41	56483615	hap1	HiFi
PR01227	Nx	42	56483615	hap1	HiFi
PR01227	Nx	43	52173600	hap1	HiFi
PR01227	Nx	44	52173600	hap1	HiFi
PR01227	Nx	45	48396939	hap1	HiFi
PR01227	Nx	46	48396939	hap1	HiFi
PR01227	Nx	47	46564981	hap1	HiFi
