genes,descriptions,num_populations,is_shared,AFR,EAS,EUR,SAS,AMR
SMYD3,SET and MYND domain containing 3,5,Yes,25.00786166,26.11404125,21.78069982,23.54597459,22.8813402
NLRP4,NLR family pyrin domain containing 4,5,Yes,23.11186706,21.00859234,18.42796623,17.31402261,20.94102622
SMOC2,SPARC related modular calcium binding 2,5,Yes,22.34067854,22.59150142,21.37842293,20.14664935,22.77196121
ADARB2,adenosine deaminase RNA specific B2 (inactive),5,Yes,21.84930212,22.78624453,22.7803255,22.0398414,21.9556133
MICAL3,microtubule associated monooxygenase%2C calponin and LIM domain containing 3,5,Yes,21.65134946,22.40506389,23.17625228,19.2478576,21.51786055
ADGRA1,adhesion G protein-coupled receptor A1,5,Yes,20.57530933,19.64692859,23.14584117,20.63972489,22.11960496
GGT4P,,5,Yes,20.2755469,19.56051237,21.68328259,20.57186816,20.12587838
RAB11FIP3,RAB11 family interacting protein 3,5,Yes,20.2666127,21.29528045,19.37945171,19.65920412,20.59282773
SLC6A3,solute carrier family 6 member 3,5,Yes,19.94101795,20.17566466,19.85390398,19.61599614,19.20773886
MROH5,,5,Yes,19.72921055,20.32908172,19.15463811,19.22736189,20.03991501
CYP4F11,cytochrome P450 family 4 subfamily F member 11,5,Yes,19.56471085,21.19043266,20.36348101,24.94984638,19.77689791
ATP9B,ATPase phospholipid transporting 9B (putative),5,Yes,19.43683378,19.3831733,19.28188744,18.77884356,18.87597128
CACNA1C,calcium voltage-gated channel subunit alpha1 C,5,Yes,19.43670302,17.51798654,18.61368483,18.18173854,17.19711864
FRG1-DT,FRG1 divergent transcript,5,Yes,19.12603224,19.25547822,17.05420595,17.94673022,19.8482733
PRKCA,protein kinase C alpha,5,Yes,18.99798207,19.47195916,28.79708865,25.52464655,22.15628151
SPIRE2,spire type actin nucleation factor 2,5,Yes,18.13429834,17.12265884,17.80983915,18.98253225,15.91387172
RPTOR,regulatory associated protein of MTOR complex 1,5,Yes,17.79884686,19.13905606,19.56164793,20.10097579,18.92055317
DIP2C,disco interacting protein 2 homolog C,5,Yes,17.76567423,20.59164288,19.13950166,18.10424621,16.38866586
NXN,nucleoredoxin,5,Yes,17.71770178,17.70224063,15.36950034,19.4218788,17.16501655
RPH3AL,rabphilin 3A like (without C2 domains),5,Yes,17.27927288,17.52935022,17.29367983,18.14164223,17.6167816
DISP3,dispatched RND transporter family member 3,5,Yes,16.98898175,17.36386678,16.43378554,15.18011112,15.18010702
EHMT1,euchromatic histone lysine methyltransferase 1,5,Yes,16.76508373,17.01948886,15.46616263,16.166173,16.67777675
NOC4L,nucleolar complex associated 4 homolog,5,Yes,16.67274175,19.1691615,12.89120891,15.36232649,15.17767676
CHMP1A,charged multivesicular body protein 1A,5,Yes,16.67250259,14.4950628,16.99946976,13.77436932,16.50138492
F11-AS1,F11 antisense RNA 1,5,Yes,16.64907233,17.85391285,13.94652762,17.19442838,16.07023937
LOC101929614,proline-rich receptor-like protein kinase PERK10,5,Yes,16.61916881,17.26329583,15.42042919,13.45105906,13.64524106
FOXN3,forkhead box N3,5,Yes,16.41185004,17.57094326,18.08323508,16.32477756,16.52807874
SNTG2,syntrophin gamma 2,5,Yes,16.3472282,14.86012928,15.68582315,14.36885247,13.8889927
GALNT9,polypeptide N-acetylgalactosaminyltransferase 9,5,Yes,16.04436002,16.65827004,17.78884008,15.35160153,15.71652126
MYT1,myelin transcription factor 1,5,Yes,15.42361318,14.9673862,15.50006911,17.00867539,15.14881224
SDK1,sidekick cell adhesion molecule 1,5,Yes,15.35023371,15.06403029,15.32863226,15.38231457,15.25339113
HLA-B,major histocompatibility complex%2C class I%2C B,5,Yes,15.31884819,15.47815902,15.99027313,15.4654077,15.74604512
DOCK1,dedicator of cytokinesis 1,5,Yes,14.80483257,14.76396313,15.23892728,14.50656671,14.63373078
SOD2,superoxide dismutase 2,5,Yes,14.63756537,14.02683182,14.31192126,15.24481806,14.81019578
STOX2,storkhead box 2,5,Yes,14.61838432,17.39159423,15.3162999,12.63549325,14.59412761
