RefSeq	Chrom	Chr	UCSCchr	GenBank	ChromNumber
NC_073249.2	chr1_pat_hsa1	chr1	chr1_pat_hsa1	CM055472.2	1
NC_085926.1	chr2_mat_hsa3	chr2	chr2_mat_hsa3	CM068944.1	2
NC_073252.2	chr3_pat_hsa4	chr3	chr3_pat_hsa4	CM055475.2	3
NC_073253.2	chr4_mat_hsa5	chr4	chr4_mat_hsa5	CM055476.2	4
NC_073254.2	chr5_pat_hsa6	chr5	chr5_pat_hsa6	CM055477.2	5
NC_073255.2	chr6_mat_hsa7	chr6	chr6_mat_hsa7	CM055478.2	6
NC_073256.2	chr7_pat_hsa8	chr7	chr7_pat_hsa8	CM055479.2	7
NC_073257.2	chr8_mat_hsa10	chr8	chr8_mat_hsa10	CM055480.2	8
NC_073258.2	chr9_pat_hsa11	chr9	chr9_pat_hsa11	CM055481.2	9
NC_073259.2	chr10_mat_hsa12	chr10	chr10_mat_hsa12	CM055482.2	10
NC_073260.2	chr11_mat_hsa9	chr11	chr11_mat_hsa9	CM055483.2	11
NC_073261.2	chr12_mat_hsa2a	chr12	chr12_mat_hsa2a	CM055484.2	12
NC_073262.2	chr13_mat_hsa2b	chr13	chr13_mat_hsa2b	CM055485.2	13
NC_073263.2	chr14_pat_hsa13	chr14	chr14_pat_hsa13	CM055486.2	14
NC_073264.2	chr15_mat_hsa14	chr15	chr15_mat_hsa14	CM055487.2	15
NC_073265.2	chr16_pat_hsa15	chr16	chr16_pat_hsa15	CM055488.2	16
NC_073266.2	chr17_mat_hsa18	chr17	chr17_mat_hsa18	CM055489.2	17
NC_073267.2	chr18_pat_hsa16	chr18	chr18_pat_hsa16	CM055490.2	18
NC_073268.2	chr19_pat_hsa17	chr19	chr19_pat_hsa17	CM055491.2	19
NC_073269.2	chr20_pat_hsa19	chr20	chr20_pat_hsa19	CM055492.2	20
NC_073270.2	chr21_mat_hsa20	chr21	chr21_mat_hsa20	CM055493.2	21
NC_073271.2	chr22_pat_hsa21	chr22	chr22_pat_hsa21	CM055494.2	22
NC_085927.1	chr23_pat_hsa22	chr23	chr23_pat_hsa22	CM068945.1	23
NC_073272.2	chrX_mat_hsaX	chrX	chrX_mat_hsaX	CM055495.2	X
NC_073273.2	chrY_pat_hsaY	chrY	chrY_pat_hsaY	CM055496.2	Y
NW_026946712.1	chr1522_pat_hsa1421_random_utig4-95	unplaced-scaffold	unplaced-scaffold	JARIFH020000029.1	unplaced-scaffold
NW_026946709.1	chr1522_pat_hsa1421_random_utig4-145	unplaced-scaffold	unplaced-scaffold	JARIFH020000026.1	unplaced-scaffold
NW_026946710.1	chr1522_pat_hsa1421_random_utig4-147	unplaced-scaffold	unplaced-scaffold	JARIFH020000027.1	unplaced-scaffold
NW_026946713.1	chr1522_pat_hsa1421_random_utig4-325	unplaced-scaffold	unplaced-scaffold	JARIFH020000030.1	unplaced-scaffold
NW_026946711.1	chr1522_pat_hsa1421_random_utig4-839	unplaced-scaffold	unplaced-scaffold	JARIFH020000028.1	unplaced-scaffold
