chromosome,start,end,population,avg_tmrca_myr,T_within_myr,Tpooled_Twithin_ratio,genes,gene_biotypes,descriptions,tr_overlap_percent,SRA_overlap_percent
chr20_hap1_hsa19,2842000,2843000,Central,15.67894593394973,1.0616575565684016e-4,90942.64720029695,NA,,,3.5999999999999996,58.599999999999994
chr20_hap1_hsa19,2802000,2803000,Central,9.46934555445361,1.0616575565684016e-4,33537.6354312571,TPGS1,protein_coding,tubulin polyglutamylase complex subunit 1,4.6,66.60000000000001
chr20_hap1_hsa19,2757000,2758000,Central,7.274963770823488,1.0616575565684016e-4,32796.489788157494,CIMAP1D,protein_coding,CIMAP1 family member D,1.3,75
chr20_hap1_hsa19,2820000,2821000,Central,6.842561826932285,1.0616575565684016e-4,24659.79110405892,CDC34,protein_coding,cell division cycle 34%2C ubiqiutin conjugating enzyme,0,59.599999999999994
chr20_hap1_hsa19,2681000,2682000,Central,4.220363754971808,8.621504214590641e-5,24195.47338560158,C2CD4C,protein_coding,C2 calcium dependent domain containing 4C,3,99.6
chr20_hap1_hsa19,2829000,2830000,Central,6.609058582320851,1.0616575565684016e-4,20324.402256360987,GZMM,protein_coding,granzyme M,0,53.7
chr20_hap1_hsa19,2787000,2788000,Central,8.068671312164078,1.0616575565684016e-4,15818.746971731503,MADCAM1,protein_coding,mucosal vascular addressin cell adhesion molecule 1,4,23.200000000000003
chr15_hap1_hsa14,34388000,34389000,Central,8.11798696391247,2.7831209036047384e-4,12633.716942915216,LOC134808285,lncRNA,uncharacterized LOC134808285,0,52.400000000000006
chr15_hap1_hsa14,34286000,34287000,Central,6.704735071112425,2.7831209036047384e-4,11515.607384124234,LOC104002008,lncRNA,uncharacterized LOC104002008,0,100
chr6_hap1_hsa7,111536000,111537000,Central,4.9712448085698115,3.0770825505264596e-4,9719.091681617974,CUX1,protein_coding,cut like homeobox 1,3,93.7
